,Review_Date,Author_Name,Vehicle_Title,Review_Title,Review,Rating
50, on 02/19/07 21:01 PM (PST),Dave ,2006 Dodge Magnum Wagon RT 4dr Wagon (5.7L 8cyl 5A),50000 and going," 16 months and over 55,000 miles, what you have is the very good, and the very bad. First the good, power, space for my big frame 6'3"", 280lbs, and lots of boxes. Nice, but not overwhelming interior, nav, heated seats, adjustable pedals, all the good stuff. Now the bad, horrible dealer service, makes me want to go back to Toyotas, and Hondas. Priced the 60,000 service one dealer wanted $850.00, another wanted $470.00. I've had a thumping noise in the right front since 21,000 miles, been to the dealer 4 times they can't find it.Serveral rattles, in the dash, and hatch. I will not buy another Dodge simply because of the dealer service.",4.125
51, on 02/05/07 22:36 PM (PST),NICK PROSCIA ,2006 Dodge Magnum Wagon SE 4dr Wagon (2.7L 6cyl 4A),SRT-8 Automotive Art," I first saw the SRT-8 at the International car show when it was just a concept. At the time, I told my wife that if they build it I want it. I first test drove it July of 2006 and fell in love. I have been a GM person my whole life, but things were about to change. I have owned 24 cars from classic Impalas, Corvettes, Camaros and list goes on. I actually traded a 1996 Impala SS for the SRT-8. There is nothing bad at all to say about this car. Styling, comfort, and oh yeah, performance like you never had. I can carry my family of five around, or pick up a TV and still lay rubber like I was in a sports car. Cold air induction and a catback exhaust is now on order. Can never have too much power.",4.875
52, on 01/10/07 17:19 PM (PST),Rollin ,2006 Dodge Magnum Wagon SXT 4dr Wagon AWD (3.5L 6cyl 5A),Nice Wagon," Black metallic with blacked out windows looks cool.  Nice bark from the 3.5L V-6 (don't bother with the 2.7 rental car engine, get the 3.5 or the V8 Hemi). Excellent highway handling. Great seating even in mid grade SXT. Quiet. Solid feeling construction. Cool interior. ",4.75
53, on 11/22/06 09:39 AM (PST),nocruelty ,2006 Dodge Magnum Wagon SE 4dr Wagon (2.7L 6cyl 4A),"Comfortable, great ride, nice handling"," This is a company car for us.  The 2.7 liter engine provides merely adequate performance from a stop and at speed, and I'd recommend one of the larger engines.  The legroom is excellent for front and back passengers.  The headroom is very good.  The telescoping steering wheel is extremely helpful and complements the power driver's seat to find an ideal driving position relative to the fixed position pedals.  The ride is excellent.  Cornering feels solid and not as though it's a 4000 pound vehicle.  Rear cargo space is limited, unless folding the rear seats.  We've needed to use the optional roof rack during trips.  Coupled with a bigger engine, this is a very fun, comfortable car.",4.25
54, on 11/16/06 13:05 PM (PST),javaguyinaz ,2006 Dodge Magnum Wagon SXT 4dr Wagon AWD (3.5L 6cyl 5A),Awesome car Dad!," I have only had it 4 weeks, and I love the car. I have been approached twice asking about the car. I bought the car used, saved myself $4K. I will not miss my Surburban. My 8 yr old will only go with Dad, forget about the minivan.",4.875
55, on 11/11/06 13:07 PM (PST),robbo68 ,2006 Dodge Magnum Wagon RT 4dr Wagon AWD (5.7L 8cyl 5A),2006 Magnum from Ontario, I am a lifelong Dodge fan. From the Dodge Dspen to Dakota now to the Magnum I am very impressed witht the structure of the whole car. I believe they spent time on this and made it right. Spacious in design with a whole lot of sport.,5
56, on 11/07/06 07:49 AM (PST),Ken ,2006 Dodge Magnum Wagon RT 4dr Wagon AWD (5.7L 8cyl 5A),Why purchase a Subaru," Wow. I am a '60's child. What an increase in quality, driveability, utility, and performance. Commute 70 miles one way to work. I am much fresher upon arrival than I was driving an "" all wheel drive import"". Exceptionaly quiet, solid. I have had the vehicle four months and have put 18k miles on the clock. ",4.875
57, on 11/05/06 08:28 AM (PST),SXT2WD_Guy ,2006 Dodge Magnum Wagon SXT 4dr Wagon AWD (3.5L 6cyl 5A),SXT 2WD 2006 3.5 250hp V6," I have just purchased this car recently and took a trip of about 1000kl/600mi. loved the way the car handled and comfort was very good. Fuel mileage was above my expectation as I averaged 39.84 mpg hwy and 34.32 city, very excited about that. 3.5 engine has lots of power and is all that is needed in this wonderful wagon",4.75
58, on 11/02/06 08:16 AM (PST),hemibp ,2006 Dodge Magnum Wagon RT 4dr Wagon (5.7L 8cyl 5A),What a machine!," While I have only put 1500 miles on this Hemi-powered rocket, I was impressed from the first moment of a test drive.  I was attracted to it by the syling and Hemi power.  I read a lot of reviews on the Magnum and researched every bit of material that I could find.  When I finally decided to buy it, I never regretted my decision.  This car handles like a sports car with the Mercedes suspension.  The car is bearly broken in so the only issue I have is with the city mileage.  The first tank was all local driving (NYC) and I got 12 mpg.  I have to be careful getting on the highway because you are up to 85 mph before you know it. Great stereo and plenty of room. People are impressed with this one.",4.875
59, on 10/20/06 11:42 AM (PDT),Ryan ,2006 Dodge Magnum Wagon SE 4dr Wagon (2.7L 6cyl 4A),Excellent Utilitarian Vehicle," We have taken the car on two long road trips already.  I was worried about the small V6 in such a large car but the pep was sufficient for excellent highway driving.  The car is smooth and the steering is sharp for such a large car.  Although the small windows in the rear reduce visibility, the side mirrors are the first adequate mirrors I've ever seen on a car making the car much more navigatable through city streets. Fuel economy is actually exceeding the mid-size sedan we traded in.  The transmission is uncharacteristically smooth from my previous experiences with Dodge.  Only one minor warrenty issue so far (switch knob).",4.875
60, on 09/19/06 09:09 AM (PDT),bradyboy1 ,2006 Dodge Magnum Wagon SE 4dr Wagon (2.7L 6cyl 4A),Love My Maggie," I have had my silver Magnum SE for almost 20 thousand miles and have not had a single issue.  I have never taken it back to the dealer for anything other than oil changes.  I have not encountered any of the problems that other people have posted on here.  It is super quiet and very solid.  Everything has worked perfectly!  I love the styling.  I get a ton of envious looks from both men and women, even with two carseats in the back.  It is the coolest ""Dad"" car on the road in my opinion.  It is very easy to load and unload kids and all their ""equipment.""  I feel very cocky on the road in this car and I don't even own the Hemi.  I live in El Paso and I have only seen a handful of others. ",5
61, on 08/14/06 11:30 AM (PDT),Ed ,2006 Dodge Magnum Wagon RT 4dr Wagon (5.7L 8cyl 5A),"No more imports for me, thank you"," I am a field engineer. I drive in total comfort, economy and awesome power when I need it. 43,000 miles on it without a hitch. ",4.875
62, on 07/28/06 06:19 AM (PDT),Don Shrum ,2006 Dodge Magnum Wagon SE 4dr Wagon (2.7L 6cyl 4A),I love this car," I've had it one year. I have put 36,000 mostly highway miles on it. Highway mileage ranges from 26 to 28 miles per mpg. I love the styling and the interior roominess. After owning it a year we still get compliments on it. It's a red beauty.",5
63, on 07/27/06 00:03 AM (PDT),Susan ,2006 Dodge Magnum Wagon RT 4dr Wagon AWD (5.7L 8cyl 5A),Black Hemi R/T, This car has been so much fun to drive I don't want to get out of it. It handles well and is very comfortable. This Hemi has tons of power and then some. But it is also nice to cruise. The 4 disc braking is really great! I love it!,4.5
64, on 07/24/06 17:51 PM (PDT),shortc4c777 ,2006 Dodge Magnum Wagon RT 4dr Wagon AWD (5.7L 8cyl 5A),"Magnum R/T, we love it!"," We absolutly love our new Magnum! The ride, performance, interior, sound system are all very good. Ours came with 20in. wheels, and it rides better than I expected. It is also the quietest (interior wise) car I have ever driven. I have no regrets in buying this car, I may go back & purchase a 300 or a Charger. I may even wait for the Challenger!",5
65, on 07/16/06 14:50 PM (PDT),Russell B. ,2006 Dodge Magnum Wagon SE 4dr Wagon (2.7L 6cyl 4A),Great room," I had a 2004 Ford F-150 5.4L V8. I traded it in for the 2006 Magnum, and the two things that I was worried about was leg room and fuel economy. My truck was great with interior space, but with gas hitting $3.00 per gallon, and me having to drive over 100 round trip to work, I needed something better for fuel. I was a little put off on the Magnum, but the leg room sold me. There is almost as much leg room as my truck, and even though I get the same mileage on fuel, it cost me 1/2 has much to fill up.",4.875
66, on 07/05/06 23:08 PM (PDT),Danny ,2006 Dodge Magnum Wagon RT 4dr Wagon (5.7L 8cyl 5A),A great car to have!, My family and I took the 1st road trip to Vegas.  It was a smooth and fun drive going across the desert.  Car stayed cool woth the AC on the whole way.  Love every minute that I am behind the wheel of my Magnum!,4.875
67, on 06/23/06 20:22 PM (PDT),Noah and Kristen ,2006 Dodge Magnum Wagon SXT 4dr Wagon AWD (3.5L 6cyl 5A),Grocery Getter with an Attitude," We bought our new Magnum three weeks ago and I have been in love with it ever since.  The weekend after we bought it, we drove it to Nashville and averaged 27 MPG.  The power out of our 3.5L is amazing.  It is nothing to bark the tires at a light or around a corner. Now that I got rid of my old beater, my daughter always wants to ride in Daddy's car.",5
68, on 06/21/06 15:11 PM (PDT),T. Smith ,2006 Dodge Magnum Wagon SXT 4dr Wagon AWD (3.5L 6cyl 5A),2006 SXT Magnum is Awesome!," My ""Maggie"" is the best vehicle I have ever owned or driven! It's so comfortable to drive and ride in and the Boston Acoustics are wonderful! The 6x CD player is a blast to load and listen to all my favorite music back to back. I zoom my sunroof back and turn up my tunes and enjoy the ride!",4.625
69, on 06/21/06 10:42 AM (PDT),CrazyArrow ,2006 Dodge Magnum Wagon SE 4dr Wagon (2.7L 6cyl 4A),Glad I bought it!," I went to the dealership to buy an SUV and drove off in a Magnum!  It was love at first sight and I'm a big guy so room was very important- definitely no complaints here.  I have definitely upgraded from my minivan and no longer feel like I've given up on life! :)  I definitely do not need a Hemi, but am a bit disappointed with the 2.7.  It has enough ""umph"" to get the job done, but with nowhere near the performance of the 3.5 or Hemi.",4.75
70, on 06/12/06 22:34 PM (PDT),Steve S. ,2006 Dodge Magnum Wagon RT 4dr Wagon AWD (5.7L 8cyl 5A),Gotta love this wagon!," Have had the vehicle for only a few weeks.  Had to sell '05 Mustang and go practical.  The Magnum gave me practicality and fun!  Really nice car, drives very well, nice and tight.  Love the low cut look, very aggressive. My wife really likes it too.  Can actually be cool in a wagon.    ",4.75
71, on 06/02/06 15:48 PM (PDT),tom ,2006 Dodge Magnum Wagon RT 4dr Wagon (5.7L 8cyl 5A),Better Than Ever," Overall fit and finish is more than excellent for a car in this price range. Take a tour of the outside and see the detail given to the body seams, their almost perfect all around the car. sit inside and notice that this is a driver's car. It's easy to get in a good driving position and all controls are extremely easy to use. The only downside is the comfort level of the seats over a long trip. This needs to be looked at by Dodge.",4.375
72, on 06/02/06 15:29 PM (PDT),coolrider ,2006 Dodge Magnum Wagon RT 4dr Wagon (5.7L 8cyl 5A),Great!," Excellent vehicle, 5.7 Hemi (need I say more?) MPG has been up to 29.5 highway with the engine management system of shutting down cylinders at cruise. Fun to drive factor is off the scale. Self sealing tires (18in) have been a life saver. It will even pull my 3500lb. motorcycle trailer smoothly with its hidden hitch and and self leveling suspension system. It sure is more pc than an SUV.",5
73, on 05/15/06 20:14 PM (PDT),sxtawdguy ,2006 Dodge Magnum Wagon SXT 4dr Wagon AWD (3.5L 6cyl 5A),Love it , Very comfortable and smooth ride. A good compromise between German technology and American way of building comfortable cars. CanÂ’t wait to try it in snow and ice. ,4.625
74, on 05/15/06 03:41 AM (PDT),MassMagnum ,2006 Dodge Magnum Wagon RT 4dr Wagon (5.7L 8cyl 5A),RT traded for SRT-8," I bought my RT almost 2 years ago. I saw it, drove it, and had to have it. I have loved everything about it. Everyday driveing it has been perfect. As for hauling, I put 8 6ft banquet tables and 20 folding chairs in the back. (Yes, in one load) Only down side is snow performance but you cant have everything. She has great style, comfort, usefullness, power, breaking,cornering and reliablity.  ",4.875
75, on 05/05/06 23:16 PM (PDT),KACHINA321 ,2006 Dodge Magnum Wagon SE 4dr Wagon (2.7L 6cyl 4A),You Have To Love Them," I wanted the Magnum and talked my wife into getting rid of her Toyota. She liked the Toyota but it was getting a few years older and I wanted a Magnum. So everytime I saw one I said ""honey look there is another one"". It didn't take long for the Magnum to grow on her. She loves her new Magnum. I put a billet grill on it. The chrome pillers and back lights. Also the door handles and mirror are now chrome. We have the hottest Magnum in the Las Vegas area. Everyone in town that has a Magnum thinks ours is a custom Magnum. I won't tell them where I got my parts from. Let them do some work to make theirs maybe as nice as ours.",5
76, on 04/22/06 20:21 PM (PDT),Trisha ,2006 Dodge Magnum Wagon RT 4dr Wagon (5.7L 8cyl 5A),I love my Magnum, I fell in love when I first saw the Magnum but to actually own one is a dream come true. To have the Hemi and the power in a station wagon is so wonderful. You have the power of a truck or SUV but the space and comfort of a mini van. I am completely happy and satisfied with my vehicle and cannot wait to drive it everyday. It goes when I need it to and gives me the comfort and safety I need on the roads today. ,4.375
77, on 04/22/06 08:58 AM (PDT),Len ,2006 Dodge Magnum Wagon RT 4dr Wagon AWD (5.7L 8cyl 5A),Loving It!," Only had a couple months, but I'm loving it so far.  Very fun to drive, and plenty of power.  Fuel economy just under the 17 MPG city.  But, this car needs the 8 cylinder, not the 6. I don't have the navigation, but the satellite radio, electronics group, sun roof and convenience group are great additions. This has more storage room in the back than our mini-van when both of the bench seats are in it.  I'm 6'2"" and feel very comfortable in this. Takes a little bit of time to get use to the viewability out the windows, but with the small round mirrors added to the side view mirrors, you should do fine.  No regrets so far!",4.625
78, on 04/06/06 06:25 AM (PDT),Rick ,2006 Dodge Magnum Wagon SXT 4dr Wagon AWD (3.5L 6cyl 5A),Magnum RI," There is no better way to say this: I have never been happier with any car (and I've had quite a number of them) than I am with my Magnum SXT AWD.   I chose the 3.5L V-6 because 250 HP is a lot of power, no matter how you cut it.  The AWD keeps the wheels firmly planted.  I corner hard, and this thing hasn't even squealed the tires a bit. So far, I'm averaging 17.5-19.0 mpg, combined, and driving habits give you the predictable results in that area.  Style: this car has it in abundance. It rides like a dream, courtsey the chassis and tranny from the Mercedes E- class underneath.  Interior is beautiful, elegant, with a touch of attitude.  I've never been happier with any car, ever.",4.625
79, on 03/20/06 20:26 PM (PST),Crosbeian ,2006 Dodge Magnum Wagon SE 4dr Wagon (2.7L 6cyl 4A),Estate Car," This was my one and only chance to avoid a mini van or the absurd badly built and ill concieved SUV.   It basically does the job, looks the dogs, drives as if on rails and is very solid.  Gas mileage OK.  All sorts of folks still stop and stare at it and ask about it.  You can forget about the baby seat in the back driving this. They need to sell a aftermarket kit to unpimp this ride.  The traction in the snow was ok, even without chains  ",5
80, on 08/01/18 11:27 AM (PDT),Bill in Texas ,2006 Dodge Magnum SRT-8 SRT-8 4dr Wagon (6.1L 8cyl 5A),Magnum SRT8  Future Classic, This car is an animal.  try to find a wagon that looks this cool and runs like a muscle car.  Very low production.  Prices are rising with low mileage cars hard to find.  Buy one now.,5
81, on 07/04/16 20:30 PM (PDT),D.E.Light ,2006 Dodge Magnum SRT-8 SRT-8 4dr Wagon (6.1L 8cyl 5A),Once was just not enough," Bought a new SRT Magnum for my own retirement gift in 2007. Simply loved it but eventually sold it to a friend's son who kept bugging me for it (for 3 years).  After that I owned 2 Chargers, 1 R/T, 1 SRT and a Chrysler 300C.  I really missed  the wagon because of the versatility and nasty looks so when I was able to find the second wagon I grabbed it. Never have had any issues with any of these vehicles but then I take care of all the maintenance/repair myself so no one can mess them up. There is a HUGE difference between the 5.7 and 6.1 Hemi LX cars pretty much in all respects so for me it will always be the SRT. The 6.1 responds very well to small changes (tuning,exhaust,CAI) and kicks real butt when you also loose 150-200 lbs of weight from the car which is not that hard to do. Even with the 12 sec. 1/4 mile performance I get around 23mpg on 75mph trips. Best of both worlds and the darn thing is a wagon to boot! Kudo's to the SRT team.  This gang has brought back the old day attitude and swagger we had in the 60's and early 70's. Chrysler leads and the others follow ( after complaining and trash talking about being beaten of course). Some things never change.",5
82, on 03/05/10 09:33 AM (PST),william van dusen ,2006 Dodge Magnum SRT-8 SRT-8 4dr Wagon (6.1L 8cyl 5A),It's a wagon!," My car 06 magnum srt-8 drives perfect for road racing,  acceleration stopping night driving, looks (without a doubt) when backing just force yourself to turn your old tired body around an take a good look, blind spot is there in the back. Only thing I can see is when trying to drive down long straight roads the long wheelbase and ten inch tread in the front  goes away from straight much easier than smaller tread tires but  it corners  unbelievable for a 4,300 lb. wagon with a long wheelbase, I'll take the cornering ability anytime. Ownership of my car has been a long time coming (since 1962) I've always coveted the big cubic inch Dodges and Plymouths, HA thought it was crippling at 4,600.00,",4.875
83, on 01/24/07 12:15 PM (PST),trotime ,2006 Dodge Magnum SRT-8 SRT-8 4dr Wagon (6.1L 8cyl 5A),SRTGreat," I tracked the SRT8 Magnum since it was first shown and then in to production. Since my wife has a R/T Magnum, when I could get an SRT8 there was no hesitation. It is quick, I have out performed many much higher priced cars, walked away from a M5, X5 and other hi pro cars. The car is a natural street ""looker"" and is well liked by ""car people"". The Red Pearl color is perfect and reinforces the design and general performance stance. I think Dodge has a winner here and every day I drive it I like it more. No matter what my mood, it gets better when I fire up the 6.1 Hemi. The only thing I would change is to make the exhaust ""growl"" more at idle and normal low end driving.",5
84, on 12/28/06 08:33 AM (PST),Jim Farmer ,2006 Dodge Magnum SRT-8 SRT-8 4dr Wagon (6.1L 8cyl 5A),Needs Subtle Changes," The SRT8 Magnum is a thrill to drive and brings back muscle car excitment! As your heartbeat increases and your palms get moist, you accelerate from a complete stop, the G-forces press you into the seat and you smile as the speedometer eclipses the century mark in under 13 seconds. The highly bolstered seat holds you comfortably in place as you execute corners like you're glued to the road. This automobile is also practical because you can take along three passengers and their luggage with ease. I would recommend you at least test drive a SRT8 vehicle before you buy anything else!",4.125
85, on 12/26/06 22:52 PM (PST),lovemesomesrt8 ,2006 Dodge Magnum SRT-8 SRT-8 4dr Wagon (6.1L 8cyl 5A),Family mans sprts car, When you need a car that can haul and haul your stuff this is it. A true sleeper. I stepped up from a SRT4 and never looked back. If only it had the 300C interior and a bigger rumble out the exhaust. You have to go with black as your color choice. It looks so mean in black. Uses a lot of gas but what 6.1L station wagon doesn't? Ride is smooth and seats are great for long trips. Easy to drive with a great turn radius. U-turns are a breeze. Stops on a dime and handles better than most cars on the road. If you can afford a SRT8 go for it.,4.625
86, on 12/15/06 17:12 PM (PST),srt8* ,2006 Dodge Magnum SRT-8 SRT-8 4dr Wagon (6.1L 8cyl 5A),Brenda's, I love my SRT8 and am still amazed at its driving capabilies and stopping power. This car is a must for a hot rod momma!,4.625
87, on 11/27/06 14:47 PM (PST),Manny ,2006 Dodge Magnum SRT-8 SRT-8 4dr Wagon (6.1L 8cyl 5A),Great Fun Family Wagon," A great excuse to buy a hotrod and say it's for the family.  Amazing perforance as expected.  You sink into the deep bucket seats when you step on the gas. A lot of looks and compliments from other drivers and curious onlookers. Fun and functional, I can carry my boys in the back and still have plenty of room in the front for me.  I'm 6-4 so that was important.  A real sleeper for people that don't recognize what exactly the SRT-8 badge means.  I have routinely smoked other unsuspecting sports cars. Always great fun.",4.5
88, on 10/17/06 16:50 PM (PDT),charlie ,2006 Dodge Magnum SRT-8 SRT-8 4dr Wagon (6.1L 8cyl 5A),Dodge Magnum SRT8," This car has great power, great styling, and gets pretty good gas mileage, but it rides like a Caddy and handles like a Vette. The thing I like about this car is that it seats 5 and has plenty of cargo room. I was a little afraid to buy it ,but once I drove it, and my wife drove it, I realized I made the right choice",4.875
89, on 10/13/06 19:45 PM (PDT),AGD ,2006 Dodge Magnum SRT-8 SRT-8 4dr Wagon (6.1L 8cyl 5A),Happy with my SRT8 Magnum," I traded a Volvo V70R for the Magnum SRT8 and I haven't regretted my decision.  This car is a blast to drive. it's just so darn fast when you get on it.  My 5 year old calls it the ""Mommy Hot Rod"".  ",4.375
90, on 10/12/06 18:58 PM (PDT),SRT84JM ,2006 Dodge Magnum SRT-8 SRT-8 4dr Wagon (6.1L 8cyl 5A),Fun and Functional, Two words describe this vehicle: fun and functionality. MPG? No. SPM (smiles per mile) outstanding!,4.625
91, on 08/10/06 13:13 PM (PDT),Step Tyner ,2006 Dodge Magnum SRT-8 SRT-8 4dr Wagon (6.1L 8cyl 5A),I love my Magnum," Aside from rather poor rear quarter visibility, that impossible-not-to- damage-while-parking lower front clip, and a seeming inability to ""memorize"" my garage door opener code, the car has been entirely trouble free.  The concept is a superb one. Who says station wagons have to be snails?  The interior cargo space includes handy grocery racks and a host of fascinating little compartments and such.  And, while the interior decor is a bit Spartan, the seats are comfortable and all the controls are conveniently placed.",4.375
92, on 05/31/06 04:19 AM (PDT),Charlie ,2006 Dodge Magnum SRT-8 SRT-8 4dr Wagon (6.1L 8cyl 5A),SRT-8 Magnum," Not only is the 2006 Magnum a beautiful design it also has the awesome power that Dodge used to have back in the late 60's early 70's. You have the modern luxuaries of a Mercedez Benz and the ""holy cow"" power of a 1970 Hemi Roadrunner. My SRT Magnum came with GPS, Sirius Satelite Radio, all leather interior, (Gray on Black-Standard for SRT8) steering wheel remotes, sunroof and digital gauges with white face gauges. The new Hemi 6.1 liter is just as appealing to look at as the rest of the car. I do feel that the exhuast could have been a bit throatier, however you do hear the engine well at 6000 rpms. The ride and handling is smooth and confortable. All this for $40,000. I did well.",4.75
93, on 05/24/06 20:19 PM (PDT),Rx:MagnumQd ,2006 Dodge Magnum SRT-8 SRT-8 4dr Wagon (6.1L 8cyl 5A),What an engine," Wow! This is one incredibly fast car. It replaced my Magnum RT, already a fast car. This one simply flies. The whole car has been upgraded from the suspension to the transmission to the brakes. It feels like a complete package. Handles suprisingly well for a 4300lb car. Seats are terrific, way better that the stock RT seats.  Driving the car is an exercise in right foot restraint. The barritone soundtrack that comes with a quick jab of the throttle is worth the price of admission alone. The thrust that comes with this right foot exercise is very impressive indeed. Remember, this car has more horsepower than any Corvette (except Z06) produced in the last 25 years. Overall, a blast to drive!",4.75
94, on 05/03/06 18:03 PM (PDT),Rocket Wagon ,2006 Dodge Magnum SRT-8 SRT-8 4dr Wagon (6.1L 8cyl 5A),6.1 HEMI, The up  grade from my '05 R/T has been very exciting. The acceleration and roar from the HEMI makes it hard to drive it slow. My gas mileage has been the same as my R/T. ,5
95, on 03/27/06 06:28 AM (PST),hemimagnum ,2006 Dodge Magnum SRT-8 SRT-8 4dr Wagon (6.1L 8cyl 5A),WOW American Muscle Returns," This car is unbelievable. It has room for the family and to haul different odds and ends. Even with 425 horses I have been getting 17-18mpg around and about town along with an occasaional jaunt on the thruway. But don't let me kid you, if you don't keep your foot out of it, which can be hard with the sensation you get when the motor starts to open up, the mileage will drop in a hurry. This car is almost too nice to drive on a daily basis. But what the heck, enjoy it. You only live once.",4.875
96, on 03/17/06 15:50 PM (PST),hemi58 ,2006 Dodge Magnum SRT-8 SRT-8 4dr Wagon (6.1L 8cyl 5A),Wow," This car is unbelievable. Great performance and mpg isn't all that bad 18.5 average. I only got 23 on my Accord and I haven't had to take it into the dealer for any of the usual ""new car"" problems-this is my 2nd Magnum-1st was and R/T-plus I don't know what all the hubbub is about w/ the Asian cars I had two and they both left me stranded and unsure if they would start. Thanks but IÂ’ll stick w/ the GM Ford & Chrysler that always seem to get knocked for fit and finish. Everyone IÂ’ve had I put minimum of 150,000 miles and w/ no trouble other than the usual wear items-LOF battery brakes.",4.875
97, on 01/28/06 06:57 AM (PST),rick ,2006 Dodge Magnum SRT-8 SRT-8 4dr Wagon (6.1L 8cyl 5A),Not your average wagon," Dodge didn't waste any money on bling bling here. Everything you need is covered, but the magic is underneath. The motor is a split personality crazy man. quiet and smooth when you need it to be. Step on the pedal and you are in another dimension. Amazing torque and acceleration(especially for a heavy car). Handles tight and the SRT8 seats are perfection. If you crave attention buy another car- although this car gets a knowing glance from anyone who understands Dodge's secret society. Generally you get the glance as you blast past them on straight AND twisty roads. Outward vision isn't great but you gain confidence in your mirrors after awhile. Build quality so far is excellent. Rock on ",4.875
98, on 12/23/05 00:58 AM (PST),Bjorn ,2006 Dodge Magnum SRT-8 SRT-8 4dr Wagon (6.1L 8cyl 5A),Lemon," My SRT my car has spent more time in the shop than on the road. Dodge can not figure out why it won't start, they'll get it running then suddenly it wont start again. Handled and performs great when it runs. Being returned under the lemon law and no, I will not get another.",3.375
99, on 12/03/05 20:54 PM (PST),hemi4fun ,2006 Dodge Magnum SRT-8 SRT-8 4dr Wagon (6.1L 8cyl 5A),Hemi 4 real," We love this car. We had a magnum Rt and when this car came out with the 6.1 we had to go get it. If you're worried about gas then maybe you should buy a Honda, but the braking and performance of this car is outragous. Much better than the rt. Nothing on the street can touch you. The power is unbelievable, you will be impressed. I hope this will help you and make sure you haggle to get that mark up down. They will do it. We got the car for 41 and people were out there paying 60, so make sure you are ready to walk. They wont let you leave.",4.875
100, on 11/16/05 11:14 AM (PST),Michael ,2006 Dodge Magnum SRT-8 SRT-8 4dr Wagon (6.1L 8cyl 5A),2006 Dodge Magnum Hemi," Fastest vehicle on the road today besides the Charger RT Hemi.  I have both cars and this one handles as good as the Charger.  The Mercedez, BMW, the 'stang, Nissan, or any other car on the road cannot match this car or the Charger for performance, style, speed, or quality...  I've tested all of the above and more and these two cars are the Kings of the road...  I blew a vette and 2 'stangs off the road and as far as the Mercedez goes, no challenge...  ",5